,hedge_true_positive,naive_true_positive,hedge_false_positive,naive_false_positive,hedge_false_negative,naive_false_negative,test length,hedge_fp_true_positive,hedge_fp_false_positive,hedge_fp_false_negative
2021-01-07,51,636,6,6,976,569,2054,51,6,976
2021-01-14,657,1309,118,118,1329,919,1918,657,118,1329
2021-01-21,1618,2637,148,148,2419,1933,4104,1618,148,2420
2021-01-28,2768,3951,178,201,3204,2833,3868,2766,176,3206
2021-02-04,4002,5178,236,337,3868,3673,3780,3992,226,3870
2021-02-11,4758,5928,365,478,4097,3964,1970,4747,354,4100
2021-02-18,5283,6438,476,603,4293,4189,1436,5269,462,4296
2021-02-25,6041,7157,510,706,4630,4623,2162,6009,478,4637
2021-03-04,6794,7889,640,854,4901,4939,2020,6748,594,4908
2021-03-11,7621,8642,679,988,5168,5301,2134,7546,604,5177
2021-03-18,8451,9410,795,1156,5436,5647,2138,8346,690,5446
2021-03-25,9318,10205,921,1338,5672,5936,2128,9171,774,5685
2021-04-01,10829,11534,954,1622,6222,6690,4106,10665,790,6244
2021-04-08,11699,12280,976,1793,6425,7038,2120,11517,794,6452
2021-04-15,12576,13018,1009,1977,6618,7372,2086,12364,797,6648
2021-04-22,14180,14363,1037,2338,7065,8040,4086,13957,814,7098
2021-04-29,15871,15782,1059,2699,7451,8719,4156,15642,830,7491
2021-05-06,16754,16495,1084,2895,7621,8978,2064,16503,833,7662
2021-05-13,17629,17204,1107,3088,7761,9261,2004,17359,837,7808
2021-05-20,18508,17913,1120,3286,7949,9581,2122,18228,840,8000
2021-05-27,20166,19334,1279,3687,8463,10296,4284,19844,957,8526
2021-06-03,21740,20778,1577,4090,9052,11008,4262,21384,1221,9117
2021-06-10,23413,22043,1605,4559,9419,11618,4062,23042,1234,9490
2021-06-17,25178,23362,1636,5092,9742,12222,4178,24793,1252,9828
2021-06-24,26052,24144,1802,5320,10019,12575,2228,25629,1380,10106
2021-07-01,26960,24904,1914,5534,10248,12895,2152,26474,1429,10337
2021-07-08,27930,25676,2015,5802,10474,13239,2308,27396,1482,10569
2021-07-15,28832,26374,2023,6036,10590,13526,2040,28292,1484,10693
2021-07-22,29760,27061,2040,6305,10728,13856,2134,29210,1491,10842
2021-07-29,30620,27813,2184,6515,10962,14160,2094,30016,1581,11083
2021-08-05,31531,28549,2285,6739,11190,14488,2158,30867,1622,11311
2021-08-12,33340,29952,2327,7211,11486,15091,4172,32651,1639,11613
2021-08-19,35131,31383,2468,7701,11914,15789,4372,34394,1732,12056
2021-08-26,35999,32100,2558,7910,12110,16113,2050,35216,1776,12259
2021-09-02,36916,32786,2566,8158,12204,16379,2026,36128,1779,12360
2021-09-09,37831,33502,2643,8395,12444,16747,2210,36987,1800,12606
2021-09-16,38740,34190,2656,8647,12578,17054,2082,37886,1803,12748
2021-09-23,40606,35535,2689,9224,12920,17697,4402,39736,1819,13099
2021-09-30,41540,36225,2703,9505,13056,17992,2132,40660,1823,13241
2021-10-07,42501,37004,2717,9718,13165,18285,2136,41614,1830,13355
2021-10-14,43458,37776,2815,9960,13363,18597,2208,42517,1874,13556
