,hedge_true_positive,naive_true_positive,hedge_false_positive,naive_false_positive,hedge_false_negative,naive_false_negative,test length,hedge_fp_true_positive,hedge_fp_false_positive,hedge_fp_false_negative
2021-01-07,31,678,2,2,996,547,2054,31,2,996
2021-01-14,521,1347,41,41,1465,987,1918,521,41,1465
2021-01-21,1616,2691,67,118,2429,1955,4104,1608,59,2430
2021-01-28,2912,3960,189,340,3076,2729,3868,2894,171,3078
2021-02-04,4335,5279,362,627,3580,3357,3780,4279,306,3583
2021-02-11,5129,5988,466,810,3800,3642,1970,5043,380,3804
2021-02-18,5715,6474,491,952,3941,3861,1436,5617,393,3948
2021-02-25,6597,7247,578,1129,4183,4193,2162,6453,434,4193
2021-03-04,7447,7998,693,1322,4374,4480,2020,7271,517,4385
2021-03-11,8286,8714,708,1513,4605,4817,2134,8099,521,4624
2021-03-18,9129,9417,719,1713,4836,5158,2138,8932,522,4860
2021-03-25,10053,10176,733,1928,4979,5433,2128,9847,527,5009
2021-04-01,11714,11438,768,2415,5375,6042,4106,11494,548,5415
2021-04-08,12630,12187,774,2632,5513,6320,2120,12409,553,5560
2021-04-15,13520,12910,789,2853,5667,6607,2086,13289,558,5723
2021-04-22,15288,14333,911,3300,5986,7156,4086,15002,625,6053
2021-04-29,17126,15795,1041,3776,6276,7660,4156,16774,689,6359
2021-05-06,18042,16524,1114,4002,6434,7933,2064,17645,717,6520
2021-05-13,18932,17243,1189,4218,6577,8200,2004,18499,756,6668
2021-05-20,19836,18027,1328,4441,6778,8478,2122,19358,850,6870
2021-05-27,21623,19400,1356,4986,7127,9093,4284,21140,873,7230
2021-06-03,23468,20763,1391,5546,7412,9673,4262,22974,897,7527
2021-06-10,25260,22050,1418,6114,7648,10184,4062,24750,908,7782
2021-06-17,27146,23360,1445,6758,7852,10676,4178,26621,920,8000
2021-06-24,28116,24077,1457,7048,7998,10963,2228,27585,926,8150
2021-07-01,29063,24798,1476,7322,8129,11233,2152,28525,938,8286
2021-07-08,30076,25557,1515,7615,8280,11540,2308,29522,961,8443
