,hedge,naive,hedge_w_fp,naive_w_fp
2021-01-07,998,549,1002,553
2021-01-14,1506,1028,1588,1110
2021-01-21,2496,2073,2607,2309
2021-01-28,3265,3069,3591,3749
2021-02-04,3942,3984,4501,5238
2021-02-11,4266,4452,4944,6072
2021-02-18,4432,4813,5127,6717
2021-02-25,4761,5322,5495,7580
2021-03-04,5067,5802,5936,8446
2021-03-11,5313,6330,6187,9356
2021-03-18,5555,6871,6426,10297
2021-03-25,5712,7361,6590,11217
2021-04-01,6143,8457,7059,13287
2021-04-08,6287,8952,7219,14216
2021-04-15,6456,9460,7397,15166
2021-04-22,6897,10456,7928,17056
2021-04-29,7317,11436,8426,18988
2021-05-06,7548,11935,8671,19939
2021-05-13,7766,12418,8936,20854
2021-05-20,8106,12919,9420,21801
2021-05-27,8483,14079,9849,24051
2021-06-03,8803,15219,10218,26311
2021-06-10,9066,16298,10506,28526
2021-06-17,9297,17434,10760,30950
2021-06-24,9455,18011,10928,32107
2021-07-01,9605,18555,11100,33199
2021-07-08,9795,19155,11326,34385
2021-07-15,9895,19678,11435,35396
2021-07-22,10011,20264,11566,36612
2021-07-29,10261,20796,11853,37610
2021-08-05,10389,21360,11990,38720
2021-08-12,10661,22479,12305,41155
2021-08-19,10915,23636,12618,43564
2021-08-26,11027,24170,12754,44640
2021-09-02,11341,24693,13173,45601
2021-09-09,11478,25273,13333,46781
2021-09-16,11580,25813,13444,47909
2021-09-23,11822,27055,13718,50543
2021-09-30,12056,27607,13988,51571
2021-10-07,12171,28157,14113,52703
2021-10-14,12472,28684,14499,53644
2021-10-21,12708,29871,14789,56103
2021-10-28,12833,30521,14931,57467
2021-11-04,13086,31127,15236,58613
2021-11-11,13569,32389,15832,61119
2021-11-18,14001,33686,16364,63830
2021-11-25,14099,34236,16481,64944
2021-12-02,14214,34898,16598,66370
2021-12-09,14282,35390,16677,67396
2021-12-16,14496,36573,16947,69957
2021-12-23,14675,37710,17163,72342
2021-12-30,14929,38925,17465,74839
2022-01-06,15159,40167,17739,77449
2022-01-13,15335,41431,17968,80219
2022-01-20,15658,42641,18380,82807
2022-01-27,15754,43251,18493,84109
2022-02-03,16093,44551,18903,86885
2022-02-10,16342,45853,19199,89579
2022-02-17,16458,46483,19340,90879
2022-02-24,16642,47697,19543,93403
2022-03-03,16837,49021,19766,96231
2022-03-10,17050,50284,20012,98846
2022-03-17,17235,51633,20254,101707
2022-03-24,17406,53028,20457,104708
2022-03-31,17619,53641,20710,105887
2022-04-07,17825,54241,20958,107055
2022-04-14,18037,54844,21207,108232
2022-04-21,18225,55469,21427,109451
2022-04-28,18421,56799,21657,112219
2022-05-05,18678,58181,21972,115097
2022-05-12,19021,59486,22398,117776
2022-05-19,19416,60722,22831,120302
2022-05-26,19589,61359,23019,121617
2022-06-02,20242,62918,23794,124622
2022-06-09,20433,63575,24007,125921
2022-06-16,20622,64229,24242,127263
2022-06-23,20790,64879,24409,128501
2022-06-30,21025,66252,24700,131354
2022-07-07,21216,66928,24902,132714
2022-07-14,21308,67586,25009,134060
2022-07-21,21500,68847,25234,136721
2022-07-28,21571,69470,25323,137978
2022-08-04,21771,70106,25541,139214
2022-08-11,22057,71454,25864,142090
2022-08-18,22340,72729,26184,144761
2022-08-25,22417,73345,26278,146055
2022-09-01,22578,73998,26469,147334
2022-09-08,22734,74693,26647,148745
2022-09-15,22810,75308,26738,149978
2022-09-22,23448,76637,27629,152535
2022-09-29,23611,77250,27780,153716
2022-10-06,23688,77875,27881,155033
2022-10-13,24021,79216,28226,157812
2022-10-20,24179,79884,28399,159146
2022-10-27,24284,80615,28528,160649
2022-11-03,24474,82003,28782,163683
2022-11-10,24671,82668,28991,164962
2022-11-17,24828,83974,29169,167720
2022-11-24,24924,84573,29291,168949
2022-12-01,25040,85280,29421,170410
2022-12-08,25314,85878,29749,171468
2022-12-15,25516,87189,29974,174227
2022-12-22,25671,87751,30143,175303
2022-12-29,25744,88398,30248,176788
2023-01-05,25827,89113,30358,178333
2023-01-12,25980,90407,30540,181135
2023-01-19,26105,91671,30698,183905
2023-01-26,26252,92299,30871,185151
2023-02-02,26380,92861,31008,186217
2023-02-09,26453,93482,31090,187530
2023-02-16,26548,94131,31196,188897
2023-02-23,26702,94788,31363,190174
2023-03-02,27077,96177,31774,193059
2023-03-09,27167,96814,31872,194426
2023-03-16,27363,98114,32087,197262
2023-03-23,27448,98760,32183,198658
2023-03-30,27718,99385,32520,199819
2023-04-06,28061,100741,32939,202617
2023-04-13,28290,102090,33187,205486
2023-04-20,28514,103385,33455,208107
2023-04-27,28688,104692,33650,210964
2023-05-04,28870,105362,33851,212278
2023-05-11,29071,106769,34087,215331
2023-05-18,29293,108238,34363,218638
2023-05-25,29520,109710,34636,221858
2023-06-01,29629,110435,34765,223401
