,hedge,naive
0,0,0
1,-1475,-2008
2,-3106,-3724
3,-7336,-7975
4,-11031,-11413
5,-14961,-14657
6,-17036,-16493
7,-18652,-17807
8,-21130,-19790
9,-23539,-21792
10,-26052,-23813
11,-28810,-25875
12,-31552,-27687
13,-37595,-30609
14,-40336,-32399
15,-43062,-34258
16,-48927,-37756
17,-55120,-41058
18,-58218,-42903
19,-61399,-44550
20,-64647,-46312
21,-71532,-49479
22,-78355,-51435
23,-84610,-54708
24,-91720,-57775
25,-95098,-59433
26,-98489,-60957
27,-102266,-62668
28,-105747,-64713
29,-109110,-66489
30,-112573,-68181
31,-116011,-69613
32,-122250,-72903
33,-129321,-76171
34,-132855,-77815
35,-136164,-79570
36,-139918,-81136
37,-143346,-82997
38,-150559,-86256
39,-153931,-88065
40,-157478,-89613
41,-161266,-91114
42,-164710,-92684
43,-168652,-94749
44,-172312,-96581
45,-179784,-100052
46,-183568,-102096
47,-187191,-103551
48,-191156,-105420
49,-194507,-107060
50,-201858,-109769
51,-208968,-112756
52,-215598,-114479
53,-219228,-115733
54,-227173,-117956
55,-234879,-120771
56,-238719,-122464
57,-246304,-125753
58,-254396,-129123
59,-258287,-131088
60,-266224,-134062
61,-274074,-137438
62,-282542,-140458
63,-290992,-143585
64,-299823,-146535
65,-303743,-148460
66,-307734,-149964
67,-311735,-151496
68,-315825,-153194
69,-324378,-155605
70,-328480,-157549
71,-332534,-159346
72,-340617,-161936
73,-344826,-163376
74,-352803,-165254
75,-357006,-166970
76,-360971,-168084
77,-365144,-169476
78,-373570,-171507
79,-377712,-173058
80,-381884,-174446
81,-390456,-176822
82,-394591,-178411
83,-398407,-179893
84,-402749,-181466
85,-411258,-183008
86,-415275,-184606
87,-419441,-186284
88,-423627,-187788
89,-427469,-189314
90,-435995,-192210
91,-440273,-193632
92,-444708,-194851
93,-453067,-197768
94,-457302,-199106
95,-461851,-200888
96,-470081,-203006
97,-474349,-204671
98,-482886,-206595
99,-486748,-208113
100,-491363,-209161
101,-495629,-210546
102,-504179,-212765
103,-508078,-214161
104,-512198,-215270
105,-516582,-216758
106,-525352,-218835
107,-533591,-221260
108,-537780,-222697
109,-541755,-223891
110,-546116,-225283
111,-550287,-226804
112,-554662,-228293
113,-558830,-229636
114,-562987,-231193
115,-571413,-232805
116,-575649,-234131
117,-579850,-235906
118,-588631,-238292
119,-596874,-240692
120,-604900,-242388
121,-613345,-244344
122,-617546,-245553
123,-626585,-247234
124,-630795,-248236
125,-639801,-249060
126,-644406,-250131
