,hedge_true_positive,naive_true_positive,hedge_false_positive,naive_false_positive,hedge_false_negative,naive_false_negative,test length,hedge_fp_true_positive,hedge_fp_false_positive,hedge_fp_false_negative
2021-01-07,536,795,53,53,797,595,2666,536,53,797
2021-01-14,1341,1711,119,119,1246,1004,2508,1341,119,1246
2021-01-21,2880,3502,240,240,2426,2070,5422,2872,232,2426
2021-01-28,4533,5303,359,366,3356,2966,5136,4510,336,3356
2021-02-04,6074,6912,485,518,4313,3971,4950,6028,439,4313
2021-02-11,7070,7906,609,653,4612,4290,2576,7017,556,4612
2021-02-18,7817,8650,724,773,4835,4526,1920,7754,661,4835
2021-02-25,8958,9785,881,941,5144,4848,2868,8879,802,5144
2021-03-04,9945,10714,969,1071,5558,5295,2692,9811,835,5558
2021-03-11,11061,11769,1055,1197,5895,5695,2800,10874,868,5895
2021-03-18,12215,12853,1182,1350,6253,6087,2910,11971,938,6253
2021-03-25,13361,13924,1258,1475,6538,6430,2760,13066,963,6538
2021-04-01,15394,15905,1535,1781,7272,7225,5430,15047,1188,7272
2021-04-08,16498,16925,1578,1895,7580,7619,2752,16114,1194,7581
2021-04-15,17594,17947,1680,2033,7891,7979,2712,17158,1244,7893
2021-04-22,19565,19783,1877,2328,8707,8885,5444,19061,1373,8712
2021-04-29,21569,21635,1968,2627,9496,9748,5504,21024,1423,9501
2021-05-06,22693,22648,1996,2755,9763,10123,2726,22120,1423,9768
2021-05-13,23791,23646,2027,2884,9999,10454,2622,23192,1428,10007
2021-05-20,24909,24649,2062,3025,10292,10848,2764,24281,1434,10300
2021-05-27,26929,26432,2146,3385,11095,11716,5552,26251,1468,11106
2021-06-03,28471,27908,2318,3637,12356,13067,5514,27747,1594,12367
2021-06-10,30491,29725,2546,4004,13058,13868,5302,29696,1751,13069
2021-06-17,32595,31447,2602,4465,13737,14676,5496,31763,1770,13750
2021-06-24,33788,32524,2719,4644,14034,15031,2854,32893,1824,14047
2021-07-01,34954,33578,2804,4793,14298,15372,2746,34002,1852,14311
2021-07-08,36096,34522,2831,5038,14665,15839,2986,35127,1862,14679
2021-07-15,37270,35544,2863,5215,14875,16176,2728,36279,1872,14891
2021-07-22,38437,36561,2885,5387,15120,16542,2790,37428,1876,15137
2021-07-29,39623,37638,2972,5538,15384,16879,2788,38557,1906,15402
2021-08-05,40766,38641,2989,5699,15655,17285,2800,39686,1909,15673
2021-08-12,42901,40369,3061,6160,16262,18047,5380,41768,1928,16281
2021-08-19,45081,42103,3132,6678,16945,18889,5650,43905,1956,16969
2021-08-26,46249,43111,3209,6876,17181,19219,2722,45029,1989,17206
2021-09-02,47397,44130,3282,7038,17415,19547,2668,46129,2014,17440
2021-09-09,48585,45200,3388,7215,17749,19974,2936,47263,2066,17774
2021-09-16,49767,46237,3463,7384,17987,20304,2724,48387,2083,18012
2021-09-23,51942,48177,3635,7745,18755,21213,5750,50490,2183,18784
2021-09-30,53099,49152,3648,7947,18995,21587,2776,51638,2187,19024
2021-10-07,54216,50148,3658,8100,19258,21957,2752,52747,2189,19291
2021-10-14,55436,51227,3674,8269,19508,22337,2926,53957,2195,19544
2021-10-21,56729,52403,3789,8457,19743,22662,2954,55197,2257,19781
2021-10-28,58090,53624,3909,8670,20034,23047,3204,56508,2327,20072
2021-11-04,59354,54782,4022,8847,20317,23432,3002,57726,2394,20355
2021-11-11,61842,56818,4097,9384,20937,24235,6136,60169,2424,20980
2021-11-18,63203,57994,4151,9595,21190,24623,3158,61492,2440,21236
2021-11-25,64444,59126,4241,9746,21405,24938,2814,62683,2480,21452
2021-12-02,65761,60282,4310,9944,21697,25342,3124,63950,2499,21747
2021-12-09,66930,61311,4321,10096,21883,25671,2692,65109,2500,21934
2021-12-16,69223,63296,4486,10511,22517,26488,5704,67326,2589,22569
2021-12-23,71444,65214,4659,10903,23171,27299,5548,69445,2660,23224
2021-12-30,73246,66659,4744,11340,23876,28143,4932,71202,2700,23933
2022-01-06,74354,67614,4774,11517,24179,28566,2786,72290,2710,24238
2022-01-13,76837,69537,4831,12171,24697,29277,5944,74739,2733,24761
2022-01-20,79243,71390,4874,12789,25235,30001,5822,77110,2741,25301
2022-01-27,80506,72458,4889,13005,25454,30360,2954,78365,2748,25523
2022-02-03,82937,74408,4925,13570,26014,31116,5940,80769,2757,26089
2022-02-10,85496,76666,5131,13999,26718,32002,6332,83230,2865,26794
2022-02-17,86829,77771,5173,14263,26934,32346,3046,84536,2880,27011
2022-02-24,89475,79869,5219,14876,27411,33023,6188,87148,2892,27493
2022-03-03,91917,81723,5237,15537,28103,33887,6264,89578,2898,28195
2022-03-10,94605,84050,5469,16038,28735,34698,6434,92159,3023,28831
2022-03-17,97188,86052,5492,16683,29296,35508,6272,94730,3034,29396
2022-03-24,99846,88260,5657,17227,29997,36439,6538,97295,3106,30100
2022-03-31,101211,89378,5689,17497,30192,36800,3078,98638,3116,30296
2022-04-07,102560,90569,5806,17723,30454,37166,3114,99933,3179,30558
2022-04-14,103898,91671,5840,17983,30659,37528,3044,101247,3189,30766
2022-04-21,105295,92805,5872,18279,30871,37903,3186,102626,3203,30980
2022-04-28,107879,95031,6052,18745,31574,38799,6390,105115,3288,31686
2022-05-05,109281,96238,6154,18989,31805,39157,3146,106455,3328,31919
2022-05-12,110656,97376,6173,19265,32041,39543,3216,107821,3338,32161
2022-05-19,113269,99399,6204,19918,32540,40267,6190,110414,3349,32663
2022-05-26,114691,100613,6293,20169,32769,40632,3190,111777,3379,32895
2022-06-02,116973,102646,6634,20717,33897,41984,6680,113982,3643,34030
