,hedge,naive,hedge_w_fp,naive_w_fp
2021-01-07,850,648,956,754
2021-01-14,1365,1123,1603,1361
2021-01-21,2666,2310,3122,2790
2021-01-28,3715,3332,4364,4064
2021-02-04,4798,4489,5630,5525
2021-02-11,5221,4943,6280,6249
2021-02-18,5559,5299,6818,6845
2021-02-25,6025,5789,7550,7671
2021-03-04,6527,6366,8063,8508
2021-03-11,6950,6892,8499,9286
2021-03-18,7435,7437,9067,10137
2021-03-25,7796,7905,9427,10855
2021-04-01,8807,9006,10836,12568
2021-04-08,9158,9514,11163,13304
2021-04-15,9571,10012,11625,14078
2021-04-22,10584,11213,12831,15869
2021-04-29,11464,12375,13770,17629
2021-05-06,11759,12878,14037,18388
2021-05-13,12026,13338,14291,19106
2021-05-20,12354,13873,14602,19923
2021-05-27,13241,15101,15510,21871
2021-06-03,14674,16704,17149,23978
2021-06-10,15604,17872,18322,25880
2021-06-17,16339,19141,19060,28071
2021-06-24,16753,19675,19519,28963
2021-07-01,17102,20165,19867,29751
2021-07-08,17496,20877,20265,30953
2021-07-15,17738,21391,20507,31821
2021-07-22,18005,21929,20765,32703
2021-07-29,18356,22417,21120,33493
2021-08-05,18644,22984,21400,34382
2021-08-12,19323,24207,22065,36527
2021-08-19,20077,25567,22837,38923
2021-08-26,20390,26095,23173,39847
2021-09-02,20697,26585,23482,40661
2021-09-09,21137,27189,23972,41619
2021-09-16,21450,27688,24261,42456
2021-09-23,22390,28958,25333,44448
2021-09-30,22643,29534,25585,45428
2021-10-07,22916,30057,25858,46257
2021-10-14,23182,30606,26129,47144
2021-10-21,23532,31119,26552,48033
2021-10-28,23943,31717,27053,49057
2021-11-04,24339,32279,27537,49973
2021-11-11,25034,33619,28252,52387
2021-11-18,25341,34218,28556,53408
2021-11-25,25646,34684,28892,54176
2021-12-02,26007,35286,29244,55174
2021-12-09,26204,35767,29434,55959
2021-12-16,27003,36999,30336,58021
2021-12-23,27830,38202,31204,60008
2021-12-30,28620,39483,32033,62163
2022-01-06,28953,40083,32368,63117
2022-01-13,29528,41448,32960,65790
2022-01-20,30109,42790,33524,68368
2022-01-27,30343,43365,33767,69375
2022-02-03,30939,44686,34360,71826
2022-02-10,31849,46001,35389,73999
2022-02-17,32107,46609,35651,75135
2022-02-24,32630,47899,36169,77651
2022-03-03,33340,49424,36889,80498
2022-03-10,34204,50736,37900,82812
2022-03-17,34788,52191,38498,85557
2022-03-24,35654,53666,39418,88120
2022-03-31,35881,54297,39644,89291
2022-04-07,36260,54889,40095,90335
2022-04-14,36499,55511,40333,91477
2022-04-21,36743,56182,40589,92740
2022-04-28,37626,57544,41550,95034
2022-05-05,37959,58146,41903,96124
2022-05-12,38214,58808,42175,97338
2022-05-19,38744,60185,42710,100021
2022-05-26,39062,60801,43032,101139
2022-06-02,40531,62701,44959,104135
2022-06-09,40874,63386,45346,105440
2022-06-16,41106,64055,45575,106715
2022-06-23,41350,64744,45829,107980
2022-06-30,42117,66199,46616,110561
2022-07-07,42485,66907,47008,111771
2022-07-14,42698,67579,47217,113043
2022-07-21,43392,69020,47931,115682
2022-07-28,43601,69649,48137,116825
2022-08-04,43799,70292,48340,117988
2022-08-11,44038,70954,48578,119202
2022-08-18,44553,72411,49097,122099
2022-08-25,44763,73054,49310,123282
2022-09-01,45072,73741,49628,124501
2022-09-08,45474,74502,50041,125750
2022-09-15,45694,75174,50264,127000
2022-09-22,46125,76562,50707,129772
2022-09-29,46463,77240,51030,130950
2022-10-06,46654,77912,51223,132208
2022-10-13,47519,79356,52188,134678
2022-10-20,47845,80032,52519,135856
2022-10-27,48132,80801,52821,137231
2022-11-03,48980,82179,53997,139723
2022-11-10,49235,82925,54257,141119
2022-11-17,50006,84259,55105,143401
2022-11-24,50220,84842,55323,144432
2022-12-01,50498,85570,55597,145770
2022-12-08,50764,86166,55867,146804
2022-12-15,51309,87688,56429,149842
2022-12-22,51568,88258,56692,150818
2022-12-29,51887,88948,57022,152034
2023-01-05,52141,89732,57288,153562
2023-01-12,52754,91234,57923,156410
2023-01-19,53369,92622,58568,158954
2023-01-26,53689,93248,58879,160016
2023-02-02,53963,93882,59175,161110
2023-02-09,54211,94519,59428,162257
2023-02-16,54421,95210,59646,163576
2023-02-23,54700,95877,59933,164733
2023-03-02,54964,96533,60204,165855
2023-03-09,55196,97200,60446,167080
2023-03-16,55938,98675,61445,169909
2023-03-23,56231,99349,61765,171075
2023-03-30,56406,100015,61955,172375
2023-04-06,57105,101561,62703,175241
2023-04-13,57764,103042,63427,177988
2023-04-20,58492,104459,64412,180711
2023-04-27,59055,106047,65056,184113
2023-05-04,59309,106667,65326,185211
2023-05-11,59800,108179,65822,188235
2023-05-18,60129,108872,66159,189418
2023-05-25,60933,110405,67201,192289
2023-06-01,61237,111235,67516,193857
