,hedge,naive,hedge_w_fp,naive_w_fp
2021-01-07,853,644,965,756
2021-01-14,1285,1082,1673,1476
2021-01-21,2615,2240,3182,2886
2021-01-28,3565,3226,4442,4302
2021-02-04,4611,4334,5819,5940
2021-02-11,4997,4784,6312,6684
2021-02-18,5289,5132,6605,7228
2021-02-25,5662,5626,6954,7972
2021-03-04,6071,6138,7351,8802
2021-03-11,6453,6616,7715,9544
2021-03-18,6859,7111,8184,10379
2021-03-25,7135,7564,8440,11072
2021-04-01,7935,8685,9263,12881
2021-04-08,8272,9178,9576,13634
2021-04-15,8619,9632,9938,14370
2021-04-22,9338,10848,10662,16478
2021-04-29,9970,11970,11266,18468
2021-05-06,10185,12467,11480,19337
2021-05-13,10434,12878,11709,19980
2021-05-20,10655,13404,11930,20916
2021-05-27,11543,14567,12983,22731
2021-06-03,12428,16136,13909,25576
2021-06-10,13170,17264,14716,27500
2021-06-17,13723,18480,15270,29824
2021-06-24,14010,18987,15569,30615
2021-07-01,14288,19455,15884,31381
2021-07-08,14619,20147,16219,32683
2021-07-15,14883,20587,16500,33377
2021-07-22,15066,21100,16680,34358
2021-07-29,15313,21572,16925,35096
2021-08-05,15606,22069,17212,35907
2021-08-12,16212,23152,17813,37860
2021-08-19,17083,24401,18760,39877
2021-08-26,17316,24889,18992,40671
2021-09-02,17452,25363,19132,41573
2021-09-09,17700,25979,19378,42751
2021-09-16,17902,26490,19581,43652
2021-09-23,18604,27659,20364,45707
2021-09-30,18783,28142,20551,46592
2021-10-07,19015,28622,20789,47394
2021-10-14,19224,29139,21006,48329
2021-10-21,19503,29653,21342,49259
2021-10-28,19787,30229,21634,50249
2021-11-04,20083,30759,21945,51105
2021-11-11,20618,32061,22501,53613
2021-11-18,20812,32632,22687,54688
2021-11-25,21051,33077,22945,55381
2021-12-02,21310,33630,23208,56306
2021-12-09,21502,34112,23414,57116
2021-12-16,22154,35274,24122,59124
2021-12-23,22666,36432,24629,61306
2021-12-30,23148,37670,25129,63872
2022-01-06,23409,38254,25396,64928
2022-01-13,24007,39496,26032,67208
2022-01-20,24599,40699,26654,69407
2022-01-27,24746,41222,26804,70474
2022-02-03,25166,42511,27236,73165
2022-02-10,25834,43771,27964,75371
2022-02-17,26081,44302,28223,76322
2022-02-24,26630,45504,28765,78490
2022-03-03,27194,46832,29323,80990
2022-03-10,27581,48187,29715,83849
2022-03-17,28141,49533,30277,86419
2022-03-24,28505,50974,30640,89540
2022-03-31,28711,51527,30863,90621
2022-04-07,28860,52088,31007,91756
2022-04-14,29105,52658,31257,92804
2022-04-21,29315,53244,31469,93908
2022-04-28,29718,54699,31874,97031
2022-05-05,29877,55284,32047,98230
2022-05-12,30027,55921,32208,99577
2022-05-19,30538,57223,32762,102079
2022-05-26,30693,57825,32923,103301
2022-06-02,31841,59645,34258,106281
2022-06-09,32077,60260,34534,107446
2022-06-16,32308,60890,34796,108684
2022-06-23,32481,61563,34974,110103
2022-06-30,32886,62998,35388,113180
2022-07-07,33068,63735,35571,114811
2022-07-14,33224,64391,35725,116203
2022-07-21,33570,65824,36084,119396
2022-07-28,33711,66443,36225,120657
2022-08-04,33839,67044,36356,121886
2022-08-11,34007,67718,36518,123308
2022-08-18,34347,69099,36867,126309
2022-08-25,34515,69689,37035,127467
2022-09-01,34651,70346,37176,128884
2022-09-08,34832,71069,37357,130469
2022-09-15,35048,71658,37586,131566
2022-09-22,35376,73049,37927,134607
2022-09-29,35647,73676,38215,135724
2022-10-06,35839,74250,38403,136776
2022-10-13,36199,75702,38776,139958
2022-10-20,36407,76340,38987,141138
2022-10-27,36684,77044,39264,142408
2022-11-03,37283,78469,40134,145441
2022-11-10,37542,79123,40388,146629
2022-11-17,37950,80554,40807,149680
2022-11-24,38092,81135,40950,150805
2022-12-01,38294,81834,41154,152280
2022-12-08,38524,82388,41394,153276
2022-12-15,39013,83823,41908,156137
2022-12-22,39194,84388,42096,157198
2022-12-29,39492,85074,42414,158466
2023-01-05,39717,85851,42639,160125
2023-01-12,40091,87404,43008,163554
2023-01-19,40414,88826,43342,166714
2023-01-26,40541,89422,43472,167968
2023-02-02,40744,89994,43677,169022
2023-02-09,40916,90639,43856,170309
2023-02-16,41090,91255,44035,171503
2023-02-23,41302,91890,44256,172658
2023-03-02,41458,92517,44422,173959
2023-03-09,41581,93159,44550,175321
2023-03-16,42218,94538,45488,178136
2023-03-23,42355,95207,45632,179587
2023-03-30,42552,95817,45844,180765
2023-04-06,42998,97462,46312,184412
2023-04-13,43523,98948,46884,187416
2023-04-20,43940,100460,47364,190878
2023-04-27,44342,101988,47785,194454
2023-05-04,44498,102612,47953,195676
2023-05-11,44864,104124,48327,198942
2023-05-18,45016,104760,48480,200250
2023-05-25,45449,106327,48926,203821
2023-06-01,45801,107133,49302,205291
